# RNA-2Di_avg
# Background (precomputed optional): 0.0604678 0.0767413 0.0617212 0.0541858 0.0576060 0.0515999 0.0741515 0.0581637 0.0627326 0.0644474 0.0652446 0.0579265 0.0654927 0.0651079 0.0452686 0.0791425 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001
# Lambda     (precomputed optional): 0.346574
   A       C       D       E       F       G       H       I       K       L       M       N       P       Q       R       S       T       V       W       Y       B       J       O       U       X
A  5.5528 -4.1589 -4.4319 -4.6490 -1.4320  1.1504 -4.4427  1.4727 -3.6078 -4.0647 -1.1220 -0.6745 -1.3422 -1.6611 -3.8229 -3.1154 -2.1836 -3.3236  1.1403 -3.2204 -3.5904  1.1492 -3.4181 -1.7279 -1.0000
C -4.1589  5.4174 -0.8784  0.2312 -4.8119 -0.5261 -2.9150 -3.1343 -3.7149  0.5733  0.1813 -3.2443 -3.1708  0.3949 -3.7497 -1.8700  1.4649 -3.2887 -2.5707 -1.9495  1.2379 -3.1853 -2.3155 -2.0811 -1.0000
D -4.4319 -0.8784  5.6685  0.9820 -1.2290 -3.3751 -1.6511 -4.0129 -0.1785 -3.6409 -1.9964 -2.3339 -4.2574 -2.8446  1.1451 -1.8819 -2.6847  1.3515 -3.6746 -1.2212  0.9439 -2.8425 -2.1011 -2.2295 -1.0000
E -4.6490  0.2312  0.9820  5.9491 -3.5744 -2.7810  0.7112 -3.0941 -2.2105 -2.6747 -1.1312 -0.7837 -3.9833 -1.4103 -1.9746  0.4474 -1.6587 -1.6944 -3.2144  1.5810  1.5078 -2.9470 -1.9803 -1.5669 -1.0000
F -1.4320 -4.8119 -1.2290 -3.5744  5.9117 -1.3645 -3.6093 -3.8638  1.1112 -5.3823 -5.2249  1.2257 -4.8305 -3.5302 -0.4136 -1.9268 -3.7722  1.3451 -3.8378 -1.9712 -3.7100  1.0852 -3.5589 -2.0524 -1.0000
G  1.1504 -0.5261 -3.3751 -2.7810 -1.3645  5.9211 -3.9056 -1.4677 -3.0109 -1.4942 -3.0202 -0.2062 -4.0906  1.3935 -3.8984 -2.2111  1.3236 -2.9122 -1.8570 -2.2760 -2.4256  1.3752 -3.3472 -1.3241 -1.0000
H -4.4427 -2.9150 -1.6511  0.7112 -3.6093 -3.9056  5.6150 -3.7123 -2.8620 -0.6841 -3.3243 -1.4605 -1.7323 -2.8587  1.1792 -0.6232 -2.5909 -1.7358 -3.3029  1.0606 -1.7948 -3.3545  1.0945 -2.5141 -1.0000
I  1.4727 -3.1343 -4.0129 -3.0941 -3.8638 -1.4677 -3.7123  5.7301 -1.8052 -3.4169 -0.3252 -2.6036 -1.2308  0.8902 -3.7425 -0.9009 -1.7822 -3.3561  1.4117 -2.5777 -2.6416 -1.6156 -3.0256  0.9786 -1.0000
K -3.6078 -3.7149 -0.1785 -2.2105  1.1112 -3.0109 -2.8620 -1.8052  5.8541 -4.6239 -4.3675 -0.8411 -4.9722 -1.1332 -0.5787  1.1074 -3.1207  1.5520 -3.6882 -1.2015 -2.6178 -1.5872 -3.2592  1.0058 -1.0000
L -4.0647  0.5733 -3.6409 -2.6747 -5.3823 -1.4942 -0.6841 -3.4169 -4.6239  5.8582 -1.9946 -4.3482  0.3907 -0.8632 -1.4731 -3.3839  1.0185 -3.7800 -2.2714 -2.7727 -1.9342 -3.8223  1.0229 -3.0720 -1.0000
M -1.1220  0.1813 -1.9964 -1.1312 -5.2249 -3.0202 -3.3243 -0.3252 -4.3675 -1.9946  5.8350 -4.1947  0.8775 -2.4974 -3.6441 -3.1427 -1.8327 -3.8082  1.3163 -2.9482  0.7222 -3.3905 -2.0214 -2.5832 -1.0000
